text,label,metadata
"Witness history in the making, as the honourable George Washington, commander of the Continental Army, poses for a handsome portrait in full military regalia.  

#military #history #nft #nfts #nftart #museum #museums #art #usa #washington #clevelandartmuseum  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1370042525671514120
"VP Harris has NOT moved into the Vice Presidential residence -- all this showing that Biden and Harris are under house-arrest and are being tightly controlled by the interim military govt.

Deep State elite arrests continue domestically and globally behind the scenes...",MISINFORMED_OR_POTENTIALLY_MISLEADING,1357029328702238720
"Hey, great news, Google Chromium just started a war and I'm going to enjoy this one

 ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1458555850524663815
"My conversation with AARON BABBITT, husband of the late Ashli Babbitt. She was MURDERED on January Sixth by the  .  Aaron was her devoted husband.  And like Ashli, a US Military Veteran.  . In two parts:

 

 ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1440684794598232069
"The only president in 20 years with the balls to end an absurd conflict 

Thanks   

 #BidenLiedPeopleDied  ",NOT_MISLEADING,1432298634499039232
"We left behind $85 billion of military equipment to terrorists who chant “Death to America”.

No one involved should be able to keep their job after that.",MISINFORMED_OR_POTENTIALLY_MISLEADING,1432695080905740288
"‘Joe Biden has left Afghanistan, and left behind $85 billion worth of American military equipment’

Nigel Farage says ‘when the British left Dunkirk, they smashed and destroyed everything. Effectively what Biden has done is arm the Taliban’  ",MISINFORMED_OR_POTENTIALLY_MISLEADING,1432770802550718464
Hi I’m Mister Ed. And I’m War Horse. And we have worms. We’re here to tell you why.,NOT_MISLEADING,1434181836301914112
We are seeing proof every day that climate change is not a challenge for the future but a crisis we must confront today. Losing part of the Antarctic ice shelf is the first stage of a cascade of melting that would harm millions of people worldwide.   ,NOT_MISLEADING,1470809047301599237
Russia Withdraws Troops From Ukraine Border After Media Said Invasion Was Imminent  ,MISINFORMED_OR_POTENTIALLY_MISLEADING,1493559549248380928
"Stephen Miller was one of the very best members of the Trump White House.

He was a patriot who understood policy and understood how to work within the confines of Washington, DC.

It's a disgrace how anti-American Democrats attack him on a regular basis.",MISINFORMED_OR_POTENTIALLY_MISLEADING,1361837636390973441
A US Senator (R) Just Posted A Picture Of What Looks To Be Young Jen Psaki Wearing A USSR Hat  ,MISINFORMED_OR_POTENTIALLY_MISLEADING,1448126930713251843
My thoughts as the last U.S. military personnel left #Afghanistan today—at the direction of the President—leaving hundreds of Americans who wanted to be rescued trapped behind Taliban-controlled lines. ⬇️  ,MISINFORMED_OR_POTENTIALLY_MISLEADING,1432543754863398916
"Nothing of the catastrophic withdrawal over the last month takes away from the extraordinary contributions of our service men &amp; women. We're going to stand tomorrow, remember 9/11 &amp; reflect on the fact that we've gone 20 years without a major terrorist attack on American soil.",MISINFORMED_OR_POTENTIALLY_MISLEADING,1436368410951229445
